epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.7038,2.15006,3.76148,1.9494,0.38677,0.15061,0.09868,0.03976,1.89891,2.97664,1.69222,0.00329966,0.00329966,0.070303
2,121.309,1.84114,2.82716,1.64321,0.4744,0.19514,0.14925,0.06419,1.97708,2.72799,1.82499,0.00650166,0.00650166,0.0401717
3,187.263,1.82437,2.56615,1.6414,0.26532,0.18682,0.14889,0.0618,2.13793,3.50683,2.0682,0.00957166,0.00957166,0.00990836
4,237.293,1.88287,2.49941,1.69776,0.32965,0.36403,0.28824,0.11472,1.98256,2.67051,1.93592,0.009406,0.009406,0.009406
5,285.183,1.86013,2.37522,1.67872,0.56347,0.20058,0.22306,0.08422,2.21869,2.68626,2.08645,0.009208,0.009208,0.009208
6,332.356,1.78785,2.24276,1.63589,0.37211,0.32367,0.26926,0.10786,2.12429,2.44746,1.92149,0.00901,0.00901,0.00901
7,377.685,1.76173,2.16819,1.61933,0.41889,0.32792,0.28279,0.11319,2.035,2.44902,1.895,0.008812,0.008812,0.008812
8,425.229,1.72055,2.07138,1.58821,0.62797,0.37761,0.44158,0.20706,1.76891,1.8737,1.64255,0.008614,0.008614,0.008614
9,472.905,1.67739,2.00951,1.55457,0.54744,0.52803,0.51472,0.2443,1.70957,1.83466,1.60495,0.008416,0.008416,0.008416
10,518.145,1.63988,1.93926,1.5168,0.54874,0.51984,0.50282,0.23092,1.65872,1.98258,1.59508,0.008218,0.008218,0.008218
11,562.864,1.61982,1.89669,1.52041,0.54509,0.50366,0.51723,0.24613,1.72914,1.81245,1.64193,0.00802,0.00802,0.00802
12,608.86,1.60923,1.8477,1.50343,0.59428,0.58354,0.58556,0.28955,1.65133,1.6337,1.58701,0.007822,0.007822,0.007822
13,654.697,1.57692,1.80229,1.48074,0.59772,0.50714,0.54529,0.26422,1.74113,1.76496,1.63542,0.007624,0.007624,0.007624
14,700.15,1.57328,1.75249,1.47172,0.6724,0.60242,0.62855,0.297,1.58378,1.52842,1.51164,0.007426,0.007426,0.007426
15,745.663,1.55115,1.69903,1.45511,0.70326,0.62905,0.67907,0.33461,1.54791,1.43862,1.47234,0.007228,0.007228,0.007228
16,790.727,1.54188,1.67475,1.44308,0.69498,0.55647,0.6537,0.31604,1.57901,1.53096,1.51859,0.00703,0.00703,0.00703
17,836.417,1.5035,1.64576,1.42421,0.73574,0.58373,0.68902,0.33875,1.53366,1.47452,1.47688,0.006832,0.006832,0.006832
18,881.386,1.49427,1.6104,1.41875,0.68395,0.66953,0.71568,0.35976,1.53087,1.49017,1.49588,0.006634,0.006634,0.006634
19,926.732,1.48506,1.60223,1.4146,0.74074,0.68272,0.74736,0.39502,1.47924,1.31982,1.43878,0.006436,0.006436,0.006436
20,975.489,1.46619,1.56196,1.4043,0.74681,0.63493,0.71875,0.37644,1.50672,1.356,1.45392,0.006238,0.006238,0.006238
21,1020.85,1.45448,1.53307,1.39787,0.76401,0.63881,0.75609,0.40317,1.46553,1.32416,1.42131,0.00604,0.00604,0.00604
22,1065.76,1.46063,1.52075,1.39485,0.70878,0.67655,0.69783,0.3629,1.52437,1.40384,1.47727,0.005842,0.005842,0.005842
23,1111.51,1.41856,1.48447,1.36635,0.74958,0.70841,0.77844,0.42733,1.3923,1.25649,1.37021,0.005644,0.005644,0.005644
24,1155.71,1.42215,1.47482,1.37273,0.75721,0.76694,0.82393,0.45148,1.40514,1.24829,1.36533,0.005446,0.005446,0.005446
25,1200.33,1.40048,1.43632,1.36026,0.81052,0.64106,0.7763,0.42805,1.47356,1.33971,1.46164,0.005248,0.005248,0.005248
26,1245.53,1.41129,1.45681,1.36518,0.79092,0.76364,0.82514,0.47054,1.36154,1.17679,1.34343,0.00505,0.00505,0.00505
27,1291.35,1.36235,1.39733,1.33321,0.79011,0.71613,0.80565,0.44528,1.39846,1.20655,1.39223,0.004852,0.004852,0.004852
28,1336.67,1.35593,1.37621,1.32574,0.80571,0.75675,0.83302,0.47988,1.39682,1.16947,1.33762,0.004654,0.004654,0.004654
29,1381.96,1.35758,1.35609,1.32854,0.78918,0.7593,0.81682,0.44783,1.40336,1.16859,1.38361,0.004456,0.004456,0.004456
30,1427.41,1.32649,1.34041,1.31318,0.84988,0.77687,0.85796,0.49796,1.30417,1.05504,1.30076,0.004258,0.004258,0.004258
31,1474.21,1.32953,1.33669,1.30854,0.75442,0.778,0.83381,0.47421,1.34311,1.10073,1.32557,0.00406,0.00406,0.00406
